,text
33,"Pues normalmente no. Antes de más pequeño sí porque me solía enfadar más, esencialmente al mejor perder una partida o quedar muy abajo o que por ejemplo en algún jefe haya muerto 10, 15 veces seguidas y no me lo conseguía pasar. Pues de pequeño me frustraba y me enfadaba. Ahora normalmente no tanto. Pues porque me lo veo más como una experiencia de divertirme personalmente y lo que busco es eso. Siempre puede haber alguna cosa triste en una historia, pero suele ser compensado con las propias mecánicas de juego y en cierto modo hacen que te vuelvas a divertir y que pases de ese sentimiento de tristeza. Pues un poco lo que ya he comentado. Si alguna sección se hace repetitiva y no me la consigo pasar o por la propia repetición de ir perdiendo pues es un enfado. No, triste mayormente no. A lo mejor en algún momento, lo típico que te acabas un juego que a lo mejor has estado un montón de tiempo jugando y tienes durante... un poco pena porque ya se ha acabado el juego y no lo vas a volver a vivir por primera vez o porque sientes y ahora a que juego, pero normalmente no. Pues diría un poco la sensación de vivir historias ficticias o fantásticas, por ejemplo, un juego que va a salir de aquí a poco, el Starfield, es un RPG espacial que me gusta jugarlo porque de pequeño siempre me ha gustado mucho el espacio, entonces tengo la ilusión de poder tener una exploración espacial y en cierto modo vivir como fantasías que tenía de pequeño. Pues si consideramos perder, vamos a considerarlo como quedar justo segundo, en cierto modo un sentimiento de decepción por pensar que podría haber llegado más y que no lo he hecho, pues a lo mejor porque me he puesto muy nervioso en esa final o por falta de habilidad. Pues antes me frustraba bastante, ahora no, lo suelo controlar más porque en general si pierdo, a lo mejor me echo otra partidilla, sobre todo si estoy con algún colega o nos ponemos a jugar a alguna otra cosa o simplemente me quedo hablando con un amigo o me pongo por mi cuenta a jugar a un juego solitario de exploración o algo de eso. Para mí es bastante fácil porque llevo un montón de tiempo jugando, sé cómo son los mandos, estoy acostumbrado, pero una cosa que pasa mucho es que a las personas que no han jugado a videojuegos, tú les das un mando y les cuesta un montón. Por ejemplo, el típico mando de por ejemplo Xbox que tiene los dos joysticks, no tienen la conciencia de moverse y mover la cámara a la vez, es una cosa que les cuesta asumir o tienen que bajar la mirada y mirar al mando, o sea que primero tienes que aprenderte el mando, los controles de cada juego, que al final yo de vez en cuando me lío porque hay muchos juegos, los controles cambian, suelen ser parecidos pero siempre hay alguna cosa disonante o que cada mando tiene su propia asignación de los botones, eso lo hace difícil para entrar. Pues la primera vez que gané una partida, pues posiblemente sería contra mi padre en la propia Wii, pues un sentimiento de ilusión, porque era pequeño, no se me daba bien. Ganar, como a todo el mundo nos gusta, y al final le acabé pillando el tranquillo, empecé a ganar más. O en otro tipo de juegos online, algún shooter o algo de eso, pues al principio se me daba más mal, pero al final empecé a ganar más partidas por la propia práctica, y al haberme adaptado y al sentimiento de ganar, pues en cierto modo yo creo que dices, venga, ya que he ganado, a lo mejor me juego otra partida. Pues ahora, depende del juego, si es un juego que por ejemplo ya jugué con 7 años, puedo sentir nostalgia. Si es un juego que estoy jugando ahora por primera vez, pues puedo sentirme impresionado por cómo está hecho el juego, los gráficos, me puede gustar mucho el gameplay, también puedo fijarme en la música. O si es la secuela de un juego que he jugado, como estoy jugándome ahora el nuevo Zelda que ha salido, pues ver cómo se conecta con el anterior juego, las mejoras y me voy fijando mucho en los apartados más técnicos. Ahora normalmente cuando gano, lo siento más como una cosa de equipo, porque los juegos online de partidas, lo suelo jugar con mis amigos, entonces lo hago más como una experiencia más social con mis compañeros, entonces siento la misma sensación de disfrutar y estar contento por haber ganado, pero de una manera distinta porque estoy con más gente. Pues principalmente y por lo que sigo jugando, diversión. Ahora también busco otros temas como pueden ser la historia y un poco más de profundidad, porque es un mundo que me gustaría dedicarme a programarlos, pero lo primero que sentía fue que eran divertidos, que me gustaba jugarlos y por eso continué. Mis padres están acostumbrados a que juegue videojuegos desde hace tiempo. De más pequeño sí que solían jugar más conmigo. Saben que juego bastante a veces. Saben que juego mucho con mis amigos por videojuegos. Saben que también he hecho algún que otro colega por los videojuegos. Y saben que me tienen más o menos controlado lo que juego. Si que juego alguna cosa. A lo mejor pi 16, algún pi 18. Pero saben que a fin de cuentas eso últimamente es normal. Pero si en general saben a lo que juego, de vez en cuando les voy contando cosas, aventuras, me pongo al lado de ellos a jugar. En general les parece bien. Pues según el que sea. Tengo un montón de amigos y a la mayoría les gustan los videojuegos. Con opiniones muy dispersas. Todos lo vemos como una cosa para divertirnos, disfrutar y estar un rato pues a nuestra bola. Algunos prefieren jugar solos a modo campaña. Otros prefieren, como un montón de amigos míos, prefieren jugar online todos juntos y echarse partidas a ver si ganan. Opiniones así dispersas pero concentradas en divertirse y pasar el rato. La verdad es que llevo jugando juegos desde muy pequeño, cuando ya nací mi madre ya tenía la Wii, entonces ya por inercia, como mis padres jugaban por ejemplo al Wii Sport, pues yo fui enganchándole a los videojuegos y también por internet, por Youtube. El ver vídeos y cosas, pues al final hizo que me empezaran a gustar los videojuegos y acabé jugando bastante. Pues principalmente si el juego, me suele pasar solo en los juegos de miedo o en algún momento concreto de algún otro juego, pues la atmósfera que crea, cuando hay una cosa que salta a cámara o alguna cosa de ese tipo no me asusta porque en cierto modo es algo esperable que vaya a pasar. Me da más miedo lo que es en sí el entorno, si está muy oscuro y se escucha algún ruido, si hay alguna luz repentina, el propio ambiente donde estes. Si es muy cerrado. Pues le diría que es en cierto modo como un juego tradicional del que ha jugado toda la vida, solo que plasmado en una pantalla, que no requiere tanto de imaginación en cierto modo, a no ser que seas el que lo está creando, que utilizas tu imaginación para plasmarlo. Pues según el tipo, los juegos de miedo, alguno que otro he jugado, pero he jugado muy poco porque están hechos de una manera que provoca mucha tensión y al final digo voy a cortarlo porque estoy cagado."
34,"Pues lo mismo porque es difícil ganar una partida... una partida. Pues que ya sí sé hacer algo, pero tampoco mucho porque tampoco lo manejo tanto el videojuego. Que no sabía hacer nada. Pues lo mismo porque es que no... estoy acostumbrada a perder porque tampoco juego muy bien. Pues que jugaba muy mal y no sabía hacer de nada. Pues que sabía jugar bien. No. Porque no sé, no tiene nada de malo, es manejar muñeco y ya está. Porque no es como me entretengo a ver por ejemplo videos en YouTube, no... no es tanto la atracción. Yo que sé, no sé, pues nada, que es una frikez y ya está, porque habrá gente que le gustan los videojuegos y habrá gente que le dén igual los videojuegos. No, si lo puedo evitar pues ya está, si juego pues bien, si no también. Pues... que a lo mejor los demás niños a lo mejor lo tenían y pues me engancharon o algo o ya está, pero yo, por ejemplo, no juego mucho, solo es... brawlstar y ni siquiera le hago caso. Pues nada, que estamos viciados perdidos con eso y ya está, con los móviles y de todo. Porque no tiene ningún enfado, a no ser que a lo mejor me lo tomara más en serio y por perder me enfadara, pero como no me lo tomo tan en serio pues... Tampoco, no. Porque no tiene nada de tristeza ni nada, tiene entretenimiento. Pues... como un juego interactivo que hay en... en de esto ¿cómo se llama? en... en el móvil, en la tablet o en el ordenador... No."
35,"Cuando pierdo sí. Que eso es un mal para los niños, que eso no sirve para nada, que eso te pueden volver loco, todo eso. ¿Qué más? De que te puedes enganchar, de que te puedes, de que te puedse... como es, de tanto enganchar no te puedes quitar de la pantalla, que te puedes volver loco con los juegos, que nada más que dices insultos cuando juegas con los guiris, con los españoles, con todo. De que a lo mejor ayer, no, antes de ayer hubo una partida con un amigo y ahora quedamos en la posición cuarta y pues me dio rabia porque la estábamos jugando muy bien y eso. Lo mismo que yo, algunas veces están divertidos, otras no. El otro día hubo aquí una concentración de videojuegos y hubo de ellos y estaban allí, ahora perdían jugando... porque era un torneo de FIFA y ahora pues yo perdí, pues me cabreé pero no pasó nada, pero había mucha gente que llegaron casi a la final y perdía por rabia. Ah, que jugué a Ardosca con unos amigos y yo había tenido Ardosca en la Nintendo Switch, pero hace tiempo, pero como es, me lo quité porque nada más que se podía jugar con una persona y ahora el otro día lo trajeron y yo me puse a jugar y perdía casi siempre, pero no me enfadaba ni nada. Ya no siento casi nada porque ya como he jugado tantas veces lo he... me he aburrido un poco de ello. Pues algunas veces si juego con los amigos al FIFA pues es porque estamos echando un campeonato y pasamos y pues eso, he ganado y eso. Pues que... era bueno y eso. Estaba muy... estaba divertido porque jugaba contra personas o contra robots, a juegos de coches, etcétera. Porque eso está dentro de la Nintendo, de la Play, Xbox, etcétera y no te puede comer. Porque de chico me regalaron la Nintendo 3DS y me gustó el Mario Kart 7 y jugaba desde ahí. Pues... qué me pone triste... que no tengo a lo mejor el móvil y tengo que jugar a la Nintendo y eso. Cuando no queda otro remedio sí. No. Un videojuego es... como... es algo que lo ha programado una persona para que se vean muñecos y ellos puedan jugar desde una consola a ello. Que no lo puedes ver por dentro, que además pones una tarjetita, un disco, lo que sea. ¿Qué me hace feliz de jugar videojuegos? Cuando he ganado o cuando me han dejado elegir a lo mejor un equipo mejor que el otro o eso. Pues nada. A veces. Yo juego al FIFA sí porque hay otros juegos que antes sí me divertían pero ahora no hay, que ahora no me gustan tanto. Que era muy malo, que no sabía jugar."
36,"Hombre, si se muere alguien que me cae bien o algo, sí. Sí. Pues... no sé. A veces cuando se acaba la partida y ya no puedo jugar más o, como te he dicho, que se muera alguien. Algunos parecen muy reales y te da así cierta cosa. Pues depende del juego, pues también sigue estando guay. Pues... tuve un buen berrinche porque estaba jugando con mis amigos y me echaron la culpa a mí de que habíamos perdido y bueno, pues ya está. Pues... me volví loco seguramente. Pues me da igual, me chusta y ya está. Sí. Pues como si ganara o yo que sé, me da igual, ya es que he ganado yo tantas veces. Pues... conocer gente, pues gastar mi tiempo cuando estoy muy aburrido. Algunos pues son graciosos de ver y ya está. Estaba muy guay. Pues dependiendo, a lo mejor creen que es una tontería o se piensan que es lo mejor del mundo, que tampoco. Porque jugaban mis amigos y bueno, porque me atraía. Pues los llevan bien porque como a ellos también les gusta jugar, pues nos lo pasamos bien. Pues... que se... es algo, un juego, pero que es en una videoconsola y pues no sé... en... pues que puede ser de varios tipos, que algunos son de fantasía y no pueden pasar en la vida real, no sé, no se me ocurra ahora mismo más. Pues... no sé. Es que siempre descubrrir algo nuevo y te lo pasas muy bien. Pues depende si es de miedo, pues sí, no me gusta mucho pasar miedo."
37,"¿Por qué no da miedo? Porque juego cosas normales. Que nos lo pasamos bien. Nada. Pues yo qué sé. Que me lo paso bien. Pues que mis amigos también jugaban. Que ya no me aburría. No lo sé. Que son malos. Alegría. Yo qué sé. Un sitio donde puedes jugar y donde puedes pasar tu tiempo libre. No. Pues nada. Yo qué sé, ya no me acuerdo. Que me lo paso bien y juego con mis amigos. Me quita el aburrimiento. Pues... cuando pierdo, pero poco. Antes. Pues yo qué sé. Normal. Nada. Pues yo qué sé por qué no me enfado, porque... porque no tiene nada para enfadarse. No. A veces. Porque... me lo paso bien. No."
38,"Pues no sé... normal. Es que hay juegos que son fáciles y otros que son muy difíciles. Pero normal. Es algo que no me interesa mucho. ¿La primera partida? Pues dije ""bueno, no pasa nada, me echo otra"", ya está. Pues no sé... alegría, por decir algo. Pues bien, que está bien. Pues no sé que... que decirte más... Pues que no sé, que lo tienen que entender porque es algo que es nuevo en la vida de día a día y yo creo que sí, que lo piensan bien. Pues... no sé, es que depende del tipo de juego que sea. Porque estoy con mis amigos jugando y... y pues eso me gusta. No. A veces. Pues lo mismo. Pues pasármelo bien jugando con ellos. ¿Qué me hizo empezar? Pues porque mis amigos tenían los juegos y yo también empecé a jugar. Pues... no sé... que no me acuerdo. Pues no sé... pues pasármelo bien porque están mis amigos jugando conmigo. A mí no. Porque sé que es algo seguro, que yo sé controlar lo que es jugar con mis amigos simplemente y no jugar con otras personas que no conozcan ni nada de eso. Pues una forma de... pues no sé... pues... pues pasártelo bien con tu amigo, ya está. ¿Por qué no me hace feliz? No sé por qué, no sé. Pues lo mismo. Me echo otra y ya está. Bueno, depende del juego. ¿Qué? No... feliz... pues pasármelo bien, si eso es ser feliz..."
39,"Pues ilusión. Me puse un poco triste y ya está. Pues un poco de nervios porque a lo mejor, no sé, es la primera vez que juego. Pues no sé, yo vi a mi padre jugar y pues me entró curiosidad y pues probé, me gustó. Pues nada, pues no sé. Pues no sé, me pongo feliz y ya está. No sé. No, yo no sé. Pues es una cosa que puedes jugar pues solitario o con varias personas online, no sé, para algo. No. No sé, porque... como... a veces, como salgo mucho con mis amigas, pues no estoy tan... no estoy tanto jugando con los videojuegos. No mucho. Pues nada, siento que es algo normal. No sé. Pues que está guay jugar a los videojuegos, que juguemos, así, no sé. Pues que es una cosa, pues que a veces te puedes obsesionar y pues que no juegues mucho. No. No sé porque a veces cuando me aburro, pues... pues juego. No."
40,"Como si fuera da igual. Una más y ya está. No pasa nada. Porque cuando estoy aburrido, pues sí, me divierte. Me divierte un poco, aunque sea. Mucho. Según también el juego que sea. Pero es más cuando pierdo. Cuando pierdo muchísimo y no gano nada, pues sí, me empiezo a cabrear. Alegría. Muchísima alegría. Ahora mismo lo estoy sintiendo aburrido. Porque siempre va a ser lo mismo, estás haciendo la misma mecánica y todo. Entonces me aburre. Antes, cuando era un poquito más chico, pues sí. Antes era un juego, pero ahora no. Ahora no me da miedo nada. No, triste no. Porque si es la primera vez que juego a ese videojuego, pues entonces está como si fuera algo para verlo como es. Pero el susto a veces si me llevo. El susto sí me lo llevo. Como una experiencia nueva que sería, como si fuera una experiencia viva. Que es como una experiencia viva directamente, una experiencia nueva que avanza directamente. Jugar más con amigos. Es mejor con amigos que solo. Porque directamente con amigos te diviertes más y la hora se pasa más rápido. Y es menos solo. Solo a veces es peor. Te aburres rápidamente. Entonces es mejor con amigos. Que es una pérdida de tiempo. Según el juego también cual sea. Pero la primera vez que jugué me divertía mucho directamente. Sabía que ese era lo único que me hacía feliz ahora mismo. En ese momento. Pero sí, mínimo un ratillo, si te da un ratillo, por lo menos se puede jugar. Se siente bien directamente, se siente bien como feliz. Eso es la primera vez. Que le parece bien. Es que para jugar un rato también y ya está. Como pasar un ratillo, pasar un ratillo. Para jugar entre amigos y luego en ese caso salir, no a la calle. Eso es más normal. En mi edad es más normal. Cuando eres más pequeño, mínimo más pequeño de edad, pues sí, me tiraba más rato a la play. Pero ahora, directamente no. En mi edad, ahora mismo, es directamente más a la calle, pues sí. El tema de jugar con amigos y todo eso. Siempre que jugaba con mis amigos me metieron a jugar. Me acabó gustando y de todo al final. Nada, a veces nada. Solamente perder. Empezar a perder, perder, perder y ya está. Antes sí. Ahora, como a veces me aburre, entonces más o menos. Cuando estoy en momentos como que no me divierte nada, pues sí, me pongo a jugar un poquillo y ya está. Pero a veces sí. Me cabreé. Me empecé a cabrear y todo eso, pero da igual, no pasa nada. Se sigue intentando hasta ganar una. Pues da igual. Porque me da igual un poco y cuando me aburro, pues me voy a otro. Y ya está, sí. A mí me da igual ya ganar o perder."
41,"No. No. Porque pues... es que... o sea, sí puedo conocer a gente y todo y hay sus riesgos, pero pues... puedo hablar con gente y todo eso y no me siento tan tan solo. Que necesito dar lo mejor de mí. Que tendría que mejorar... todo. Que estoy mejorando más y practicando más. Pues a veces sí porque me desestreso y todo eso. Que puedo conocer a gente nueva, hablar con personas y hacer amigos nuevos de otros países. Como emoción, adrenalina y todo y ya. Que... que estaba mejorando como jugaba. Pues... como también la adrenalina y todo eso. Que es un... que pierdo mi tiempo ahí. No, casi no. Porque un amigo me recomendó un juego para jugar en línea y pues lo descargué y ya. No sé. Pues... no, no sé preguntar esa pregunta. Que podemos jugar en línea entre todos aunque no estemos en el mismo lugar y todo, pero nos podemos comunicar entre los juegos y todo. Porque siento que solo es un juego y no... y no es la gran cosa. Porque puedo conocer a más gente nueva, hablar con ellos y todo eso. Le enseñaría como jugar, los controles y las técnicas y todo."
42,"No. No. Pues porque hay que aprender a controlar aire. Pues cosas buenas. Nada, a ellos no les importa. ¿Qué? No sé, yo no empecé a jugar hasta que empecé. Que están bien. Bien. Pues tristeza. No lo sé básicamente, así que... A mí no me hace feliz nada, yo juego y ya está. Pues nada. Sí. No, yo nunca ganaba, jugaba con mi hermana y siempre perdía, así que... Porque nunca me pongo triste cuando juego. No. Porque yo nunca tengo miedo."
43,"Pues igual, sin más. Pues dependiendo del juego, si ese juego me cuesta más, pues también orgullosa y si no, pues ya está, pues... pues normal. Ay, pues muy orgullosa, porque siempre soy muy torpe para todas estas cosas y por una vez que gano... Porque creo que si hablamos como de que me enganche a jugar a videojuegos, es porque me considero una persona con bastante autocontrol, entonces sé hasta el punto que podría llegar. Pues no sé, sin más. En plan, al principio se me hizo un poco pesado porque me obligó él, pero... no sé, en plan, pues ya está, cuando estoy muy aburrida pues lo utilizo. Pues a ver, en realidad es que el único que juega a videojuegos es mi hermano. Bueno, mi padre a veces también juega con él y ea, le decimos muchas veces cuando ya ha pasado un tiempo que ya ha sido suficiente y él se lo toma a bien, entonces pensamos que los videojuegos no son algo malo, pero porque nunca hemos tenido como esa situación. Pensamos que ahora es como entretenimiento. Pues tengo amigos un poco de todo, amigos que sí están viciados y amigos que no, entonces pues para algunos, yo diría que el FIFA, por ejemplo, son su vida entera y otros que pues es lo que yo digo, pues jugar por jugar y ya está. Pues tener un hermano pequeño, la verdad. Nunca, nunca me han llamado en realidad la atención. A ver, si el videojuego es de miedo, sí. Pero si no, no. No. Pues yo le diría que un videojuego, es, pues como un juego normal, ¿no? solo que pues se juega a través de una pantalla y pues que tú tienes como un mando que puedes controlar tú lo que tú quieras que haga pues el personaje de ese videojuego. Lo mismo. A lo mejor si es un juego en el que yo tenía más maña, pues sí es verdad que a lo mejor digo ""venga, vamos a echarnos otra, revancha"", pero no sé, en realidad me da un poco igual. Porque no es una cosa que me guste en realidad, en plan prefiero pasar tiempo haciendo otras cosas. No. Pues no sé, no sentí nada, pues a lo mejor ganas de echarme otra para ver si esa vez tenía más suerte, pero no soy una niña que me enrabie si pierdo. No es algo que considere triste, pues si tengo esas ganas de jugar a algún videojuego, ¿no? pues me lo tengo que tomar como diversión. No. No me enfada como tal, a lo mejor es lo que le he mencionado antes, que en algún juego que sí que puedo tener yo más maña, pues a lo mejor sí puedo ser un poco más competitiva en ese aspecto, pero como enfadarme no."
44,"Pues me sentí orgulloso de mí mismo. Pues la verdad, ver a mi hermano jugarlos, la verdad me pareció bastante entretenido y quise probarlos. Pues que es algo que ha revolucionado el mundo en todos los sentidos y que ha sido un gran paso para la humanidad, porque todo lo que tenemos ahora respecto a los videojuegos nos hace sentirnos bien despreocupados, al menos yo. Pues... siento como que... como que estoy feliz. Pues que depende del juego, pues puedo jugarlo o no, que a veces piensan que es una pérdida de tiempo y que es inútil. Pues no sabría decirte la verdad. Depende del videojuego. Pues un videojuego es una fuente de entretenimiento que... que... en la que se debe de usar una pantalla con unos controles. Pues que es normal también. Pues siento como si todos mis problemas hiciesen una pausa y desapareciesen por un momento. Sí. Pues la verdad no sentí nada, dije ""pues ya está, ha pasado, es normal"". No. Pues siento que es algo normal. Pues porque los juegos que me enfadan directamente no los juego. Pues porque los videojuegos están hechos para el entretenimiento, no para pasarlo mal. No, generalmente no. Pues... pues si es un juego de terror que... que tenga escenas de miedo."
45,"No. Pues porque...  Pues mucha alegría y muchas ganas de ver como era. Pues porque... porque si es algo que te gusta, pues no te puede dar miedo. Pues es como un juego en el que, depende de como sea el juego, puede ser en línea o puede ser con creaciones del mismo juego. No. Bueno, en algunos momentos. Pues... en algunos poder elegir yo el personaje que me gusta. Pues lo mismo, volver a intentarlo, a ver si consigo ganar. A veces. Pues que algunos son... buenos, que les puedes echar un rato, pero no mucho y otros que... jugarías, pero muy poco rato. Pues porque intento estar alegre todo el rato y lo consigo. Pues... el que... tras intentar una y otra vez, el intentar ganar y a ver, no conseguirlo ninguna vez, pues a veces a lo mejor me frustra un poco, pero... Pues... pues que están muy chulos. No se me ocurre nada más. Pues... muy alegre. Muy alegre. Pues seguir intentando ganar la siguiente partida. Pues una alegría, pero más pequeña. Pues a veces disfruto, a veces no mucho, pero..."
46,"Pues casi nada, lo que pasa es que doy un poco en que ahora que está mi hermano pequeño, que ahora jugamos los dos, pues, normalmente gano porque él siempre está haciendo, así jugando, pero no está ahí centrado. Así que yo gano casi siempre, pero nada, es lo normal. Pues no me hace sentir nada, o sea, he ganado y ya está. No sé, me sentí, estuve alegre porque había ganado y yo qué sé, pues, me sentí bien, pero tampoco era nada del otro mundo. Pues nada, llevo ya, pues yo qué sé, habré jugado a lo mejor 5 partidas en mi vida y, no sé, 3 de ellas la habré ganado, 2 de ellas la habré perdido, pero nada, creo que pues eso, ya está. Lo mismo, nada, así nada raro. Era, bueno, juegas y juegas lo mismo. No sentí nada porque los videojuegos a mí no me han gustado nunca, ya te lo he dicho, así que no me pasa nada. Porque me gusta jugar más con cosas físicas y me gusta más el baloncesto, el fútbol, correr... No. No, no juego a videojuegos. No. Pues no está mal, lo que pasa es que me gusta más los juegos físicos, o sea, jugar fútbol con mis amigos y todo eso. Pues me sentí bien porque era, estaba entretenido, pero no. Hombre, me convencí un poquillo, pero me gustaban más otras cosas. Que son muy buenos, que les encantan y se pueden pasar, pues pueden pasar a lo mejor una hora o dos jugando. Por ejemplo, los fines de semana mis amigos a veces se conectan y se ponen a jugar a lo mejor al Fortnite o yo que sé, al Mario Party o... Sí, algo así, se tiran hay un buen rato. Pues primero porque su padre no les regañan, no les dicen, por ejemplo, Manolo ven a comer... No se, les dejan que estén allí y supongo que, por ejemplo, si tienen que hacer tareas, las habrán hecho antes. No, si tengo que jugar, por ejemplo, mi hermano a veces me dice, vamos a jugar a la Wii, pues yo, vale, juego, no pasa nada. No. No me pone triste, estoy, juego, jugamos en familia y hay que disfrutarlo. La primera vez, pues no sé, me sentí como algo raro porque la primera vez que lo hice y me sentí ahí como, sabes, como qué va a pasar, qué va a suceder, pero ahora, no sé por qué no me da miedo. Si tengo que jugar a un juego ya está, no hay nada raro. Pues le explicaría que es una pantalla con la que tú puedes interactuar con ellos, juegas, puedes hacer cosas online y puedes conectarte con tus amigos y jugar. Porque, hombre, he jugado muy pocas veces y las veces que he perdido, pues he perdido y he perdido porque, claro, mi hermano ya tenía muchas ganas de jugar y digo, pues voy a dejarlo un poco, pobretico que tiene ganas. Mis padres sobre todo piensan que no es bueno jugar mucho a videojuego. Hombre, he jugado un poco, sí, pero no mucho. Ellos vienen de la vieja escuela, así que les gusta más, estaban más tiempo en la calle y jugaban con, por ejemplo, en la calle con la pelota y todo eso. Y en esa época no había videojuegos, así que ellos se adaptaron a ese tiempo y ahora que han venido los videojuegos, pues, están ahí medio adaptándose a los videojuegos, pero no les gusta. Nunca, nunca me he enfadado jugando videojuego. Nunca me he enfadado jugando videojuego. Porque estamos en familia y cuando jugamos, pues, no sé, me hace sentir bien."
47,"Pues diversión. Un poco también de misterio porque como no sabía cómo iba. Así, cosas así. Y yo que sé que más. Yo que sé más cosas. Porque como ya lo tengo como más asimilado. O sea, tampoco es que fuese aquí. Pero no sé, no entiendo por qué me tienen que dar miedo. Pues que en pocas ocasiones está bien, pero que tampoco estar ahí adicto y todo el día jugando. Yo creo que eso, yo qué sé, nada, un poco... Pero sí, yo creo que eso. No. Pues es como... yo es qué para explicarme... Es como un juego que se juega en una consola y pues que no sé, es para divertirse. Y lo controlas tú con un mando o con lo que sea de la consola y se ve en la tele. Yo que se... pues porque no, o sea, no tiene por qué. O sea, no sé, es que no. Pues porque no tiene por qué ponerme triste, si no... Pues por lo mismo. Porque es una actividad que no está hecha para eso, está hecha para divertirse, para pasárselo bien, no para enfadarme. No. No. Pues no sé, ganamos, hacer cosas así. Depende. A ver, feliz de como que lo necesito, no, pero algún ratillo si un poco. Pues no me importa mucho. Es que tampoco juego mucho. Me da como lo mismo. Hace la pregunta pero luego se corrige y hace la pregunta 7. No hay respuesta de esta pregunta. Pues que están chulos y divertidos y que está bien jugarlos. Ah, pues no me sorprendí mucho porque como era de las primeras veces, pues yo que sé. Y es básicamente eso. No, tampoco me causó mucha, ¿sabes? Pues también diversión. Como menos curiosidad porque ya sé más o menos cómo va. O también depende si ya lo he jugado, pues no tanto. Pero así como, no sé. Pues lo que he dicho es que era para añadir, ¿vale? Pues alegría y como sorpresa porque no sabía cómo iba más o menos y ya está. Pues un poco la moda, mi amiga, para no aburrirme."
48,"No, no me da miedo. Hombre, también depende con la gente que juegue, pero no. Darme miedo en sí no. Bueno, pues un videojuego es un juego que... en el que se utilizan aparatos electrónicos y que, pues eso, que sirve para entretenerte y suele ser la mayoría de las veces pues lo sueles jugar online con amigos. Es porque, es por lo que he dicho, es que no es una cosa que me llame la atención, así como... es simplemente pues ya está, es que sinceramente hay muchas más cosas que me llaman la atención, pero jugar videojuegos pues no. En plan, es que... la verdad que para mí eso no... a mí eso ni me entretiene ni me hace feliz, simplemente pues, ea, como lo hago con, es que como no lo hago en mi casa, lo hago con gente por ahí, pues la verdad que no... es solo una cosa que me hace feliz. Es que nunca gano ninguna. Ah, bueno, pues no sé. Es que pues nada, a lo mejor un poquillo de felicidad por decir que he ganado, pero tampoco... Pues... creo que me sentiría un poco más feliz porque como la mayoría de gente, todo el mundo sabe jugar y yo no, pues sería como decir ""ea, he ganado a alguien que sabe jugar y yo que no sé, pues he ganado"". Pues que es un modo que luego al final vas a poder sacarle dinero, que por ejemplo, hay algunos que ya se lo toman super en serio y se pasan las horas jugando y pues eso que al fin y al cabo luego piensan que con eso van a poder hacer dinero en un futuro cercano o lejano. Bueno, paso un buen rato porque lo hago con más gente, pero tampoco es una cosa que yo diga que me encanta, simplemente pues pasar el rato. No sé, era, es que me sentía triste porque yo no sabía jugar y ellos ya como que lo manejaban superbien y en verdad tampoco... no me interesa mucho, no me... la verdad es que no me gusta jugar videojuegos, no sé. Pues eso. Iba de vez en cuando a casa de mis primos y como ellos jugaban, pues me decían ""échate una partidilla"" y pues jugaba con ellos, pero... es que, ea... o cuando iba a casa de, por ejemplo, mis vecinos, pues también hemos jugado y pues así empecé yo a jugar videojuegos. No. Pues a ver, un poquillo mal, porque ya llevo más tiempo jugando, entonces pues podría ganar alguna partida perfectamente y me sentiría un poquillo mal, pero tampoco, pero vamos, que tampoco me importaría mucho. En verdad me dio más o menos igual, porque no me sentí ni triste ni... la verdad es que no me sentí triste, pues ya está, pues vamos a jugar otra y si lo hago mejor, pues bien y si no pues, pues ya está. Pues yo creo que más o menos lo mismo que yo, que si son videojuegos que no te aportan cosas malas y que no te quitan demasiado tiempo de tu vida diaria, pues a ellos les daría más o menos igual. No, no me enfada, a lo mejor a veces, ahora sí puede que a veces, no sé, me enfade un poquillo porque si juego con primos chicos a lo mejor sí digo ""joder, que son más chicos y me ganan"", pero que no es enfadarme enfadarme, simplemente que pica un poquillo y ya está. Porque yo creo que si juegas con responsabilidad, sabes con quién juegas y los tipos de juegos a los que juegas no son violentos ni pueden traer luego acciones que sean tanto malas físicas o psicológicamente para ti o para la gente de tu alrededor, yo creo que no tiene nada de malo. No, no me pone triste, no sé, creo que porque como no juego demasiado, pero yo creo que si llegara un punto en el que jugara demasiado, yo creo que ya sí... En ese momento a lo mejor no, pero si retrocediera en el tiempo sí me haría, sí me haría pena."
49,"Pues... es... es que no sé explicarlo, pero... es... pues es un juego que se utiliza para... no sé... para... no sé... para jugar un juego en la pantalla. Pues no. Pues porque son aburridos o algunos son... no sé. Prefiero ver videos. Pues... es que he perdido muchas. Pues me sentí... que sabía que iba a perder, porque como era mi primera partida, pues no... sabía que iba a perder. No, no me enfada. Pues que son malos o aburridos y malos para la mente. Porque... yo qué sé, no me enfado por un videojuego. Pues... no me pone triste porque... no sé, no... no me pone triste. Es que no sé, no. Nada, porque ya no juego a ninguna y nada. Pues... que me da igual. Pues que me gustaba. Nada, no sé. Me da igual ganar. Pues... o que me aburren o no lo cojo, no lo juego. No sé... es que no lo he entendido muy bien. Porque no tenía ninguno y quería instalarme uno. Porque no... no va a pasar nada o no da miedo. No sé, depende. No, no. Pues no son aburridos y... pasas todo el día jugando a juegos. No. No."
